61
  1.00000  0.0 0.0
  0.99681  0.00046 0.0
  0.98736  0.00191 0.0
  0.97202  0.00451 0.0
  0.95121  0.00828 0.0
  0.92544  0.01315 0.0
  0.89522  0.01897 0.0
  0.86108  0.02553 0.0
  0.82351  0.03256 0.0
  0.78301  0.03979 0.0
  0.74004  0.04690 0.0
  0.69500  0.05362 0.0
  0.64825  0.05974 0.0
  0.60019  0.06515 0.0
  0.55127  0.06975 0.0
  0.50199  0.07347 0.0
  0.45282  0.07620 0.0
  0.40422  0.07789 0.0
  0.35665  0.07850 0.0
  0.31056  0.07802 0.0
  0.26639  0.07645 0.0
  0.22457  0.07382 0.0
  0.18549  0.07015 0.0
  0.14954  0.06549 0.0
  0.11702  0.05989 0.0
  0.08821  0.05340 0.0
  0.06331  0.04612 0.0
  0.04249  0.03818 0.0
  0.02581  0.02975 0.0
  0.01334  0.02106 0.0
  0.00509  0.01236 0.0
  0.00083  0.00404 0.0
  0.00052 -0.00278 0.0
  0.00555 -0.00770 0.0
  0.01669 -0.01150 0.0
  0.03324 -0.01452 0.0
  0.05501 -0.01669 0.0
  0.08183 -0.01802 0.0
  0.11345 -0.01856 0.0
  0.14956 -0.01839 0.0
  0.18979 -0.01756 0.0
  0.23374 -0.01617 0.0
  0.28094 -0.01429 0.0
  0.33088 -0.01204 0.0
  0.38302 -0.00951 0.0
  0.43678 -0.00683 0.0
  0.49153 -0.00412 0.0
  0.54665 -0.00148 0.0
  0.60146  0.00096 0.0
  0.65530  0.00311 0.0
  0.70751  0.00487 0.0
  0.75740  0.00615 0.0
  0.80430  0.00688 0.0
  0.84755  0.00703 0.0
  0.88650  0.00654 0.0
  0.92047  0.00546 0.0
  0.94881  0.00400 0.0
  0.97110  0.00248 0.0
  0.98713  0.00119 0.0
  0.99678  0.00031 0.0
  1.00000  0.0 0.0
